room_id;speaker_id;time;message
1;2;2021-04-27 08:29:59.456208;Did you like Hawaii vacation?
1;1;2021-04-27 08:31:32.456208;I loved it.I want to live there.
1;2;2021-04-27 08:32:02.456208;What did you like?
1;3;2021-04-27 08:33:01.456208;The island is so green, and the water is so blue.
1;2;2021-04-27 08:34:42.456208;Did you go swimming?
1;1;2021-04-27 08:36:38.456208;I went to the beach every day.
1;1;2021-04-27 08:37:09.456208;How was the weather?
1;2;2021-04-27 08:38:45.456208;It was hot and sunny every day.
1;3;2021-04-27 08:39:49.456208;What did you do at night?
1;3;2021-04-27 08:40:33.456208;At night I went out to eat. The food was delicious.
1;3;2021-04-27 08:41:57.456208;What do you like about it?
1;2;2021-04-27 08:42:52.456208;We get a free breakfast.
1;2;2021-04-27 08:43:48.456208;Coffee and a roll?
1;1;2021-04-27 08:45:47.456208;No, a real breakfast.
1;3;2021-04-27 08:47:18.456208;Do they allow pets?
1;3;2021-04-27 08:49:00.456208;No pets, no smoking.
1;1;2021-04-27 08:49:42.456208;What's wrong with the bed?
1;2;2021-04-27 08:50:03.456208;Look at this sheet.
1;2;2021-04-27 08:52:00.456208;Yes?
1;1;2021-04-27 08:53:19.456208;See those stains?
1;3;2021-04-27 08:53:53.456208;Is this table okay?
1;2;2021-04-27 08:54:05.456208;No, it's too close to the kitchen door.
1;2;2021-04-27 08:55:26.456208;How about this table?
1;1;2021-04-27 08:55:55.456208;No, it's too close to the front door.
1;3;2021-04-27 08:57:33.456208;This looks like a nice table.
1;1;2021-04-27 08:58:34.456208;No, it's too close to the salad bar.
1;2;2021-04-27 08:59:38.456208;Okay, I give up.
1;3;2021-04-27 09:00:40.456208;Well, there is one good table.
1;1;2021-04-27 09:02:13.456208;Great. Which one?
1;3;2021-04-27 09:02:49.456208;That one. A group of eight just sat down at it.
1;1;2021-04-27 09:04:29.456208;Did you see "Titanic"?
1;2;2021-04-27 09:05:04.456208;Yes. It is a great movie.
1;2;2021-04-27 09:06:46.456208;I saw it twelve times.
1;1;2021-04-27 09:07:42.456208;I saw it eight times.
1;2;2021-04-27 09:09:07.456208;Turn the radio down, please.
1;2;2021-04-27 09:09:28.456208;But I'm listening to it.
1;2;2021-04-27 09:11:07.456208;Well, listen to it more quietly.
1;3;2021-04-27 09:12:16.456208;I can't wait till I grow up.
1;3;2021-04-27 09:13:53.456208;What will you do?
1;1;2021-04-27 09:15:22.456208;I will play the radio as loud as I want.
1;3;2021-04-27 09:15:32.456208;That's okay with me.
1;2;2021-04-27 09:16:57.456208;I will have a radio in every room of my house.
1;1;2021-04-27 09:18:21.456208;Remind me to never visit you.
1;3;2021-04-27 09:18:41.456208;All the radios will be on extra loud.
1;2;2021-04-27 09:19:41.456208;Your neighbors will hate you.
1;2;2021-04-27 09:20:50.456208;If they don't like it, they can move.
1;1;2021-04-27 09:22:37.456208;Can I try your coffee?
1;3;2021-04-27 09:23:53.456208;Sure. Here you go.
1;3;2021-04-27 09:25:42.456208;Hmm, that's not bad.
1;2;2021-04-27 09:27:35.456208;There's nothing in it.
1;3;2021-04-27 09:28:01.456208;What do you mean?
1;1;2021-04-27 09:28:50.456208;I mean, it's just coffee.
1;3;2021-04-27 09:30:31.456208;I figured that.
1;2;2021-04-27 09:31:33.456208;It's not too bitter for you?
1;3;2021-04-27 09:32:33.456208;It's a little bitter, but it's okay.
1;1;2021-04-27 09:33:35.456208;There's no sugar or cream in it.
1;1;2021-04-27 09:33:58.456208;No, it's a taste you have to get used to.
1;2;2021-04-27 09:34:30.456208;Sort of like beer.
1;3;2021-04-27 09:36:04.456208;I want sheets without stains on them.
1;3;2021-04-27 09:37:15.456208;From now on, let's bring our own sheets.
1;2;2021-04-27 09:38:21.456208;What time does your plane leave?
1;2;2021-04-27 09:40:10.456208;It leaves at 12:15.
1;1;2021-04-27 09:41:10.456208;When do you have to be at the airport?
1;2;2021-04-27 09:41:53.456208;I have to be there two hours early.
1;3;2021-04-27 09:43:49.456208;So we have to be at the airport at 10:15.
1;2;2021-04-27 09:45:45.456208;That means we have to leave the house at 9:15.
1;1;2021-04-27 09:46:05.456208;Well, it's an hour to get there, if there are no traffic problems.
1;3;2021-04-27 09:46:35.456208;So maybe we better leave at 8:15?
1;1;2021-04-27 09:48:30.456208;Yes, it's better to get there too early than too late.
1;3;2021-04-27 09:50:04.456208;I agree.
1;1;2021-04-27 09:51:45.456208;You never know what might happen on these freeways.
1;2;2021-04-27 09:52:30.456208;There's at least one huge accident every day.
1;1;2021-04-27 09:54:24.456208;I need to fly to New York.
1;2;2021-04-27 09:55:17.456208;When are you going?
1;2;2021-04-27 09:55:32.456208;During the Christmas holidays.
1;2;2021-04-27 09:56:38.456208;You'd better buy your ticket now.
1;2;2021-04-27 09:56:48.456208;You must be kidding.
1;3;2021-04-27 09:57:28.456208;No, I'm not. It's March. Time is running out. Seats are selling out right now.
1;3;2021-04-27 09:57:58.456208;I thought I would wait until October.
1;3;2021-04-27 09:58:42.456208;I'll bet this is the first time you've ever flown during Christmas.
1;3;2021-04-27 09:59:41.456208;Do you go to college?
1;1;2021-04-27 10:00:42.456208;Yes, I do.
1;1;2021-04-27 10:02:11.456208;What college do you go to?
1;3;2021-04-27 10:02:24.456208;I go to Pasadena City College.
